star teffs te tefferr loggs le loggerr vts vterr fehs fe feherr n1 n2 m1 em1 m2 em2 plx plxerr logL logLerr  planet
HD66039 6149  18  62 4.52 0.03 0.10 1.14 0.02  0.17 0.01 0.05 257 35 1.5814 0.05856 1.176 0.023 19.61 0.53  0.2274 0.0234 no
HD66040 5226  80 100 4.34 0.14 0.17 0.76 0.19  0.35 0.06 0.08 259 36 0.6192 0.19888 0.895 0.027 19.22 0.71 -0.2822 0.0320 no
HD66168 6198  29  66 4.69 0.04 0.11 1.18 0.04 -0.03 0.02 0.05 251 35 1.8562 0.07082 1.113 0.024 19.53 0.51  0.1408 0.0226 no
HD66340 5284  32  68 4.36 0.05 0.11 0.75 0.07  0.03 0.02 0.06 258 35 0.5499 0.09131 0.868 0.025 20.05 0.71 -0.3345 0.0307 no
HD66740 6666  39  71 4.49 0.06 0.12 1.70 0.05  0.04 0.02 0.06 246 34 2.3138 0.10012 1.351 0.022 16.83 0.58  0.5629 0.0299 no
HD66838 5392  31  67 4.29 0.05 0.11 0.71 0.05  0.03 0.02 0.06 259 35 0.5334 0.11503 0.895 0.028 17.05 1.08 -0.2426 0.0550 no
HD67200 6105  27  65 4.44 0.03 0.10 1.19 0.03  0.32 0.02 0.05 258 34 1.5358 0.06112 1.187 0.023 18.54 0.50  0.2822 0.0234 no
HD68287 6318  39  71 4.63 0.07 0.12 1.45 0.05  0.06 0.03 0.06 249 35 2.2232 0.11963 1.207 0.025 16.31 0.73  0.3124 0.0388 no
HD70903 5118  37  70 4.52 0.06 0.12 0.63 0.09 -0.43 0.02 0.06 259 34 0.8144 0.12812 0.750 0.018 19.87 1.27 -0.3795 0.0555 no
HD71685 6038  30  67 4.58 0.04 0.11 1.09 0.05 -0.37 0.02 0.05 252 34 1.3272 0.08842 0.931 0.034 17.91 0.82  0.0597 0.0397 no
