HD88656   5150  34 4.44 0.06 0.81 0.07 -0.11 0.02 255 34 0.731 4.48  0.422 0.041 5.91 no
HD88742   5981  13 4.52 0.02 1.07 0.01 -0.02 0.01 253 33 1.076 4.46  1.176 0.014 4.60 no
HD89454   5728  17 4.47 0.03 0.96 0.02  0.12 0.01 257 34 1.033 4.51  0.853 0.035 4.99 no
HD90156   5599  12 4.48 0.02 0.86 0.02 -0.24 0.01 252 33 0.841 4.45  0.719 0.014 5.20 no
HD90711   5444  39 4.40 0.06 0.92 0.06  0.24 0.03 254 34 0.928 4.49  0.644 0.026 5.36 no
HD90812   5164  35 4.48 0.05 0.64 0.08 -0.36 0.02 254 33 0.767 4.64  0.311 0.030 6.23 no
HD92588   5199  26 3.79 0.06 1.01 0.03  0.04 0.02 253 35 0.840 3.63  3.579 0.025 3.57 no
HD92719   5824  16 4.51 0.03 0.96 0.02 -0.10 0.01 259 33 0.992 4.51  0.874 0.017 4.94 no
HD92788   5744  24 4.39 0.04 0.95 0.03  0.27 0.02 255 35 1.032 4.41  1.046 0.028 4.76 yes
HD93083   5105  68 4.43 0.11 0.94 0.14  0.09 0.04 255 35 0.767 4.51  0.395 0.025 6.00 yes
HD93380   4649 105 4.35 0.35 0.21 1.04 -0.72 0.03 220 12 0.652 4.93  0.090 0.022 7.84 no
HD93385   5977  18 4.42 0.02 1.14 0.02  0.02 0.01 254 35 1.067 4.36  1.480 0.032 4.35 no
HD94151   5583  19 4.38 0.02 0.83 0.03  0.04 0.01 256 33 0.899 4.39  0.883 0.033 4.98 no
HD95456   6276  22 4.35 0.04 1.40 0.02  0.16 0.02 258 35 1.285 4.23  2.882 0.020 3.59 no
HD95521   5773  18 4.49 0.02 0.96 0.02 -0.15 0.01 256 35 0.946 4.49  0.844 0.022 4.99 no
HD96423   5711  18 4.35 0.02 0.98 0.02  0.10 0.01 257 35 0.971 4.36  1.112 0.023 4.70 no
HD96700   5845  13 4.39 0.02 1.04 0.01 -0.18 0.01 252 35 0.943 4.28  1.414 0.020 4.42 no
HD97037   5883  14 4.34 0.02 1.13 0.01 -0.07 0.01 257 35 1.000 4.25  1.660 0.022 4.24 no
HD97343   5410  20 4.39 0.03 0.82 0.03 -0.06 0.01 252 34 0.813 4.43  0.638 0.016 5.37 no
HD97998   5716  21 4.57 0.02 0.85 0.04 -0.42 0.01 261 33 0.827 4.48  0.729 0.022 5.16 no
HD98281   5381  23 4.42 0.04 0.64 0.04 -0.26 0.02 253 33 0.769 4.48  0.533 0.019 5.58 no
HD98356   5322  35 4.41 0.06 0.84 0.06  0.10 0.03 255 35 0.852 4.50  0.532 0.046 5.60 no
HD100508  5449  61 4.42 0.09 0.86 0.09  0.39 0.05 259 35 0.939 4.40  0.774 0.020 5.16 no
HD100777  5536  26 4.33 0.05 0.81 0.04  0.25 0.02 255 35 0.937 4.31  1.045 0.052 4.81 yes
HD101581  4738  57 4.46 0.15 0.66 0.25 -0.52 0.03 255 30 0.682 4.77  0.143 0.010 7.28 yes
HD101930  5164  61 4.40 0.11 0.91 0.12  0.13 0.04 253 36 0.779 4.47  0.468 0.025 5.79 yes
HD102117  5657  24 4.31 0.04 0.99 0.03  0.28 0.02 255 34 1.014 4.21  1.548 0.030 4.35 yes
HD102365  5629  29 4.44 0.03 0.91 0.04 -0.29 0.02 254 32 0.821 4.40  0.811 0.006 5.06 no
HD102438  5560  13 4.41 0.03 0.84 0.02 -0.29 0.01 257 33 0.802 4.43  0.704 0.012 5.23 no
HD103949  4881  91 4.48 0.18 0.49 0.42 -0.07 0.05 255 33 0.763 4.65  0.242 0.024 6.62 no
HD104006  5023  37 4.56 0.05 0.15 0.33 -0.78 0.02 227 25 0.472 4.44  0.283 0.029 6.39 no
HD104067  4969  72 4.47 0.13 0.98 0.20 -0.06 0.05 253 33 0.704 4.55  0.302 0.019 6.33 no
HD104263  5477  23 4.34 0.04 0.81 0.03  0.02 0.02 254 35 0.851 4.36  0.829 0.041 5.07 no
HD104982  5692  14 4.44 0.02 0.91 0.02 -0.19 0.01 253 34 0.882 4.43  0.852 0.029 4.99 no
HD105671  4748 103 4.42 0.23 0.90 0.34 -0.02 0.07 255 33 0.763 4.69  0.194 0.017 6.94 no
HD105837  5907  17 4.54 0.03 1.14 0.03 -0.51 0.01 239 32 0.850 4.35  1.141 0.028 4.64 no
